"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_q","periodo"
362,"03430001-1","RIO COPIAPO EN LAUTARO",-27.97777778,-69.99972222,1127,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3430,"Rio Copiapo Entre Junta Rios Jorquera, Pulido y Manflas y Bajo Junta Q. Barrancas Blancas",1,"N",95.9342915811088,"1990-2024"
468,"03820003-8","RIO HUASCO EN SANTA JUANA",-28.67527778,-70.64777778,550,3,"Atacama",33,"Huasco",3301,"Vallenar",38,"Rio Huasco",382,"Rio Huasco",3820,"Rio Huasco Entre Rio Transito y Del Carmen y Quebrada Camarones",1,"N",95.3945438545028,"1990-2024"
374,"03431001-7","RIO COPIAPO EN LA PUERTA",-27.8075,-70.12833333,884,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3431,"Rio Copiapo Entre Quebrada Barrancas Blancas y Quebrada Carrizalillo",1,"N",94.9721325902024,"1990-2024"
356,"03414001-4","RIO PULIDO EN VERTEDERO",-28.08888889,-69.94277778,1314,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",341,"Rio Pulido",3414,"Rio Pulido entre Rio Mantosa y Rio Copiapo",1,"N",94.6435904957466,"1990-2024"
359,"03421001-2","RIO MANFLAS EN VERTEDERO",-28.15111111,-69.99388889,1479,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",342,"Rio Manflas",3421,"Rio Manflas Entre Quebrada Noriega y Rio Copiapo",1,"N",93.8926371369903,"1990-2024"
441,"03804002-2","RIO TRANSITO EN ANGOSTURA PINTE",-28.94527778,-70.25055556,1258,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3804,"Rio Transito Entre Rio Chollay y Quebrada Chanchoquin",1,"N",93.5640950425345,"1990-2024"
230,"02104002-9","RIO LOA EN SALIDA EMBALSE CONCHI",-22.02777778,-68.62111111,2940,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2104,"Rio Loa entre Rio San Pedro y Rio Salado",1,"N",93.3763567028454,"1990-2024"
214,"02101001-4","RIO LOA ANTES REPRESA LEQUENA",-21.65583333,-68.66194444,3314,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2101,"Rio Loa Entre Estero Chela y Bajo Junta Quebrada de Hachas",1,"N",93.1573286398748,"1990-2024"
363,"03430003-8","RIO COPIAPO EN PASTILLO",-28.00361111,-69.97694444,1156,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3430,"Rio Copiapo Entre Junta Rios Jorquera, Pulido y Manflas y Bajo Junta Q. Barrancas Blancas",1,"N",92.4924220201428,"1990-2024"
455,"03814003-5","RIO CARMEN EN EL CORRAL",-29.11305556,-70.41611111,1677,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",381,"Rio del Carmen",3814,"Rio del Carmen Entre Quebrada La Plata y Pueblo San Felix",1,"N",92.0778331866628,"1990-2024"
352,"03404001-K","RIO JORQUERA EN VERTEDERO",-28.04527778,-69.9575,1243,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",340,"Rio Jorquera",3404,"Rio Jorquera entre junta Rio Turbio y Rio Copiapo",1,"N",92.0074313092794,"1990-2024"
435,"03802001-3","RIO CONAY EN LAS LOZAS",-28.94861111,-70.10083333,1560,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3802,"Rio Conay (entre Rio Valeriano y Rio Chollay)",1,"N",90.4116554219224,"1990-2024"
331,"03022001-3","RIO LA OLA EN VERTEDERO",-26.485,-69.06,3582,3,"Atacama",32,"Chañaral",3202,"Diego de Almagro",30,"Endorreicas entre Frontera y Vertiente del Pacifico",302,"Salar de Pedernales",3022,"Rio de La Ola",1,"N",89.4729637234771,"1990-2024"
237,"02105001-6","RIO SALADO A. J. CURTI",-22.27916667,-68.24277778,3076,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",89.0036178742544,"1990-2024"
342,"03041005-K","RIO LAMAS EN EL SALTO",-27.08222222,-68.93166667,4292,3,"Atacama",31,"Copiapó",3101,"Copiapó",30,"Endorreicas entre Frontera y Vertiente del Pacifico",304,"Salar de Maricunga",3040,"Salar de Maricunga y cuencas del Norte y Este",1,"N",88.0883934682703,"1990-2024"
380,"03434002-1","CANAL MAL PASO DESPUES DE BOCATOMA",-27.51861111,-70.26611111,529,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3434,"Rio Copiapo Entre Quebrada Carrizalillo y Quebrada Paipote",1,"N",87.5721130341254,"1990-2024"
467,"03820001-1","RIO HUASCO EN ALGODONES",-28.72944444,-70.50777778,724,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",382,"Rio Huasco",3820,"Rio Huasco Entre Rio Transito y Del Carmen y Quebrada Camarones",1,"N",87.4391317101789,"1990-2024"
238,"02105002-4","RIO SALADO EN SIFON AYQUINA",-22.28916667,-68.34472222,2944,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",86.3361689645057,"1990-2024"
414,"03453001-7","RIO COPIAPO EN ANGOSTURA",-27.32305556,-70.84,77,3,"Atacama",31,"Copiapó",3102,"Caldera",34,"Rio Copiapo",345,"R.  Copiapo Bajo",3453,"Rio Copiapo Entre Quebrada Totoralillo y Desembocadura",1,"N",85.6399726214921,"1990-2024"
