"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_q","periodo"
971,"05410002-7","RIO ACONCAGUA EN CHACABUQUITO",-32.85055556,-70.50944444,946,5,"Valparaíso",53,"Los Andes",5304,"San Esteban",54,"Rio Aconcagua",541,"Aconcagua Medio",5410,"Rio Aconcagua entre Rio Colorado y Rio Putaendo",1,"C",99.751637821453,"1990-2024"
1259,"05721001-K","ESTERO YERBA LOCA ANTES JUNTA SAN FRANCISCO",-33.34444444,-70.36388889,1328,13,"Metropolitana de Santiago",131,"Santiago",13115,"Lo Barnechea",57,"Rio Maipo",572,"R.  Mapocho Alto",5721,"Rio San Francisco",1,"C",99.399628434536,"1990-2024"
1234,"05716001-2","RIO ANGOSTURA EN VALDIVIA DE PAINE",-33.81111111,-70.88361111,348,13,"Metropolitana de Santiago",134,"Maipo",13404,"Paine",57,"Rio Maipo",571,"Rio Maipo Medio",5716,"Estero Angostura Entre Estero Paine (II) y Rio Maipo",1,"C",99.2510022489489,"1990-2024"
1266,"05722001-5","ESTERO ARRAYAN EN LA MONTOSA",-33.32888889,-70.45944444,1043,13,"Metropolitana de Santiago",131,"Santiago",13115,"Lo Barnechea",57,"Rio Maipo",572,"R.  Mapocho Alto",5722,"Rio Mapocho Entre Rio San Francisco y Bajo Junta Estero Arrayan",1,"C",99.0554414784394,"1990-2024"
1189,"05710001-K","RIO MAIPO EN EL MANZANO",-33.5975,-70.37944444,881,13,"Metropolitana de Santiago",132,"Cordillera",13203,"San José de Maipo",57,"Rio Maipo",571,"Rio Maipo Medio",5710,"Rio Maipo Entre Estero Colorado y Rio Clarillo",1,"C",99.0241517551579,"1990-2024"
1267,"05722002-3","RIO MAPOCHO EN LOS ALMENDROS",-33.37055556,-70.45111111,977,13,"Metropolitana de Santiago",131,"Santiago",13115,"Lo Barnechea",57,"Rio Maipo",572,"R.  Mapocho Alto",5722,"Rio Mapocho Entre Rio San Francisco y Bajo Junta Estero Arrayan",1,"C",98.985039601056,"1990-2024"
893,"05110002-6","RIO PETORCA EN PEÑON O HIERRO VIEJO",-32.27861111,-70.98888889,427,5,"Valparaíso",54,"Petorca",5404,"Petorca",51,"Rio Petorca",511,"Petorca Medio",5110,"Rio Petorca Entre Rio Sobrante y Estero Las Palmas",1,"C",98.6877872298817,"1990-2024"
1532,"06013001-9","RIO CLARO EN HACIENDA LAS NIEVES",-34.49611111,-70.70472222,710,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6115,"Rengo",60,"Rio Rapel",601,"Cachapoal Bajo",6013,"Rio Claro hasta Estero Tipaume",1,"C",98.320132981324,"1990-2024"
919,"05200001-7","RIO ALICAHUE EN COLLIGUAY",-32.33083333,-70.73777778,852,5,"Valparaíso",54,"Petorca",5402,"Cabildo",52,"Rio Ligua",520,"Rio Ligua Alto (Estero Alicahue)",5200,"Estero Alicahue",1,"C",97.7725628238975,"1990-2024"
990,"05414001-0","RIO PUTAENDO EN RESGUARDO LOS PATOS",-32.50166667,-70.58111111,1193,5,"Valparaíso",57,"San Felipe de Aconcagua",5705,"Putaendo",54,"Rio Aconcagua",541,"Aconcagua Medio",5413,"Rio Putaendo Entre Rio Hidalgo y Bajo Junta Estero Chalaco",1,"C",97.1858805123692,"1990-2024"
