"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_pp","periodo"
3589,"220002","El_loa_calama_ad_DMC",-22.49806,-68.8925,2320,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",211,"Loa Medio (entre R.  Salado y Q. de Barrera)",2110,"Rio Loa entre Rio Salado y Rio San Salvador",2,"N",100.001955607705,"1990-2024"
3615,"230001","Cerro_moreno_antofagasta_ap_DMC",-23.45361,-70.44528,113,2,"Antofagasta",21,"Antofagasta",2101,"Antofagasta",22,"Costeras R.Loa-Q.Caracoles",224,"Costeras entre Q. Chacaya y Q. Caracoles",2240,"Costeras Entre Quebrada Chacaya y Quebrada Caracoles",2,"N",99.9550210227828,"1990-2024"
316,"02710003-1","ANTOFAGASTA",-23.65138889,-70.40194444,6,2,"Antofagasta",21,"Antofagasta",2101,"Antofagasta",27,"Quebrada Caracoles",276,"Q. Caracoles entre Salares Navidad y del Carmen (inclusive) y desembocadura",2760,"Quebrada Caracoles Entre Salares Navidad y del Carmen (Inclusive) y Desembocadura",1,"N",99.6186564975066,"1990-2024"
480,"03823003-4","VALLENAR DGA",-28.58583333,-70.73861111,425,3,"Atacama",33,"Huasco",3301,"Vallenar",38,"Rio Huasco",382,"Rio Huasco",3823,"Rio Huasco Entre Quebrada El Jilguero y Quebrada Maitencillo",1,"N",99.5013200352009,"1990-2024"
461,"03815004-9","SAN FELIX",-28.93083333,-70.46388889,1130,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",381,"Rio del Carmen",3815,"Rio del Carmen entre Pueblo San Felix y Rio Huasco",1,"N",99.399628434536,"1990-2024"
390,"03441001-1","PASTOS GRANDES",-27.11444444,-69.56416667,2264,3,"Atacama",31,"Copiapó",3101,"Copiapó",34,"Rio Copiapo",344,"Quebrada Paipote",3441,"Quebrada Paipote en Junta Quebrada San Andres",1,"N",99.2588246797692,"1990-2024"
469,"03820004-6","SANTA JUANA",-28.67083333,-70.65416667,545,3,"Atacama",33,"Huasco",3301,"Vallenar",38,"Rio Huasco",382,"Rio Huasco",3820,"Rio Huasco Entre Rio Transito y Del Carmen y Quebrada Camarones",1,"N",99.1023760633617,"1990-2024"
365,"03430006-2","LAUTARO EMBALSE",-27.97888889,-70.00416667,1126,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3430,"Rio Copiapo Entre Junta Rios Jorquera, Pulido y Manflas y Bajo Junta Q. Barrancas Blancas",1,"N",98.9146377236726,"1990-2024"
357,"03414002-2","IGLESIA COLORADA",-28.15,-69.88861111,1527,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",341,"Rio Pulido",3414,"Rio Pulido entre Rio Mantosa y Rio Copiapo",1,"N",98.8364134154689,"1990-2024"
444,"03804007-3","JUNTA DEL CARMEN",-28.755,-70.48527778,798,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3806,"Rio Transito Entre Quebrada Chanchoquin y Rio Huasco",1,"N",98.633030214139,"1990-2024"
366,"03430007-0","LOS LOROS",-27.82972222,-70.11972222,923,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3430,"Rio Copiapo Entre Junta Rios Jorquera, Pulido y Manflas y Bajo Junta Q. Barrancas Blancas",1,"N",97.7647403930771,"1990-2024"
425,"03604001-7","EL TOTORAL",-27.90111111,-70.96111111,151,3,"Atacama",31,"Copiapó",3101,"Copiapó",36,"Q.Totoral y Costeras hasta Q.Carrizal",360,"Quebrada Totoral",3604,"Quebrada Totoral Entre Quebrada Boquerones y Desembocadura",1,"N",97.741273100616,"1990-2024"
396,"03450004-5","COPIAPO",-27.35055556,-70.35472222,357,3,"Atacama",31,"Copiapó",3101,"Copiapó",34,"Rio Copiapo",345,"R.  Copiapo Bajo",3450,"Rio Copiapo Entre Quebrada Paipote y Bajo Junta Quebrada La Brea",1,"N",97.6395814999511,"1990-2024"
347,"03210001-5","LAS VEGAS",-26.67944444,-69.66722222,2245,3,"Atacama",32,"Chañaral",3202,"Diego de Almagro",32,"Rio Salado",321,"Quebrada Del Chanaral",3210,"Quebrada del Chañaral Alto hasta Bajo Junta Quebrada del Salto",1,"N",96.6696000782243,"1990-2024"
258,"02110013-7","CALAMA",-22.45277778,-68.90638889,2303,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",211,"Loa Medio (entre R.  Salado y Q. de Barrera)",2110,"Rio Loa entre Rio Salado y Rio San Salvador",1,"N",93.6110296274567,"1990-2024"
375,"03431004-1","ELIBOR CAMPAMENTO",-27.70333333,-70.2025,734,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3431,"Rio Copiapo Entre Quebrada Barrancas Blancas y Quebrada Carrizalillo",1,"N",93.2199080864379,"1990-2024"
242,"02105017-2","TOCONCE",-22.26472222,-68.16638889,3315,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",92.4376650044001,"1990-2024"
426,"03701001-4","CANTO DE AGUA",-28.14972222,-70.86083333,274,3,"Atacama",33,"Huasco",3304,"Huasco",37,"Quebrada Carrizal y Costeras hasta R. Huasco",370,"Quebradas Carrizal y Carrizalillo",3701,"Quebrada Carrizal Entre Quebrada Chacritas y Desembocadura",1,"N",91.2251882272416,"1990-2024"
323,"02942001-7","AGUAS VERDES",-25.40111111,-69.9625,1559,2,"Antofagasta",21,"Antofagasta",2104,"Taltal",29,"Costeras entre Q. la Negra y Q. Pan de Azucar",294,"Quebrada de Taltal",2942,"Quebrada Taltal Entre Quebrada del Chaco y Bajo Junta Quebrada Corcovado",1,"N",90.9748704409895,"1990-2024"
353,"03404002-8","JORQUERA EN LA GUARDIA",-27.74861111,-69.67166667,2406,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",340,"Rio Jorquera",3404,"Rio Jorquera entre junta Rio Turbio y Rio Copiapo",1,"N",90.6463283465337,"1990-2024"
246,"02105022-9","EL TATIO",-22.35111111,-68.01638889,4308,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",90.4977021609465,"1990-2024"
481,"03823004-2","LA COMPAÑIA (VALLENAR)",-28.58111111,-70.79833333,470,3,"Atacama",33,"Huasco",3301,"Vallenar",38,"Rio Huasco",382,"Rio Huasco",3823,"Rio Huasco Entre Quebrada El Jilguero y Quebrada Maitencillo",1,"N",90.0987581891073,"1990-2024"
233,"02104008-8","CONCHI EMBALSE",-22.02694444,-68.62416667,3024,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2104,"Rio Loa entre Rio San Pedro y Rio Salado",1,"N",89.8562628336756,"1990-2024"
450,"03806002-3","EL TRANSITO",-28.87361111,-70.28194444,1107,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3804,"Rio Transito Entre Rio Chollay y Quebrada Chanchoquin",1,"N",89.2461132296861,"1990-2024"
240,"02105014-8","CUPO",-22.11472222,-68.31666667,3384,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",89.2382907988657,"1990-2024"
489,"03825004-3","FREIRINA",-28.51166667,-71.0775,142,3,"Atacama",33,"Huasco",3303,"Freirina",38,"Rio Huasco",382,"Rio Huasco",3825,"Rio Huasco Entre Quebrada Maitencillo y Bajo Quebrada Tortolas",1,"N",89.160066490662,"1990-2024"
308,"02510007-7","RIO GRANDE",-22.65194444,-68.1675,3224,2,"Antofagasta",22,"El Loa",2203,"San Pedro de Atacama",25,"Salar de Atacama",251,"Rio San Pedro",2510,"Rio San Pedro",1,"N",88.933215996871,"1990-2024"
244,"02105020-2","SALADO EMBALSE",-22.28527778,-68.20333333,3165,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",88.9097487044099,"1990-2024"
298,"02500017-K","CAMAR",-23.40861111,-67.96194444,2709,2,"Antofagasta",22,"El Loa",2203,"San Pedro de Atacama",25,"Salar de Atacama",250,"Salar de Atacama",2500,"Salar de Atacama",1,"N",88.8549916886673,"1990-2024"
360,"03421004-7","MANFLAS HACIENDA",-28.12583333,-69.97361111,1374,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",342,"Rio Manflas",3421,"Rio Manflas Entre Quebrada Noriega y Rio Copiapo",1,"N",88.5968514715948,"1990-2024"
234,"02104010-K","CHIU-CHIU",-22.3425,-68.64944444,2530,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2104,"Rio Loa entre Rio San Pedro y Rio Salado",1,"N",88.1509729148333,"1990-2024"
216,"02101003-0","LEQUENA",-21.65861111,-68.6625,3310,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2101,"Rio Loa Entre Estero Chela y Bajo Junta Quebrada de Hachas",1,"N",87.6659822039699,"1990-2024"
266,"02112008-1","QUILLAGUA",-21.65527778,-69.53555556,804,2,"Antofagasta",23,"Tocopilla",2302,"María Elena",21,"Rio Loa",211,"Loa Medio (entre R.  Salado y Q. de Barrera)",2112,"Rio Loa entre Rio San Salvador y Quebrada Amarga",1,"N",87.3765522636159,"1990-2024"
280,"02210002-5","TOCOPILLA",-22.08472222,-70.18388889,121,2,"Antofagasta",23,"Tocopilla",2301,"Tocopilla",22,"Costeras R.Loa-Q.Caracoles",221,"Costeras entre Q. Iquine y Q.Tocopilla (inclusive)",2210,"Costeras Entre Quebrada Iquine y Quebrada Tocopila (Inclusive)",1,"N",87.0010755842378,"1990-2024"
243,"02105018-0","AYQUINA",-22.27583333,-68.32388889,3044,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",86.7194680747042,"1990-2024"
436,"03802005-6","CONAY",-28.97472222,-70.15361111,1450,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3803,"Rio Chollay",1,"N",86.6647110589616,"1990-2024"
498,"03940001-4","DOMEYKO",-28.95444444,-70.89444444,772,3,"Atacama",33,"Huasco",3301,"Vallenar",39,"Costeras e Islas entre R.Huasco y Cuarta Region",394,"Q. Chañaral",3940,"Quebrada Cha¤aral en Junta Quebrada La Hoyada",1,"N",86.4847951500929,"1990-2024"
351,"03340001-2","CALDERA",-27.06833333,-70.81722222,24,3,"Atacama",31,"Copiapó",3102,"Caldera",33,"Costeras e Islas R.Salado-R.Copiapo",334,"Costeras entre Quebrada del Morado y Rio Copiapo",3340,"Costeras Entre Quebrada del Morado y Rio Copiapo",1,"N",86.3987484110687,"1990-2024"
241,"02105016-4","LINZOR",-22.22972222,-68.02277778,4102,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",84.4431407059744,"1990-2024"
315,"02710002-3","BAQUEDANO",-23.33111111,-69.83583333,1037,2,"Antofagasta",21,"Antofagasta",2103,"Sierra Gorda",27,"Quebrada Caracoles",271,"Q. Caracoles entre Quebrada El Buitre y  Salar del Carmen",2710,"Quebrada Caracoles Entre Quebrada El Buitre y Salar del Carmen",1,"N",84.0989537498778,"1990-2024"
313,"02700001-0","SIERRA GORDA",-22.89083333,-69.32138889,1623,2,"Antofagasta",21,"Antofagasta",2103,"Sierra Gorda",27,"Quebrada Caracoles",270,"Quebrada Caracoles bajo junta Quebrada El Buitre",2700,"Quebrada Caracoles bajo junta Quebrada El Buitre",1,"N",82.6830937713895,"1990-2024"
222,"02103010-4","INACALIRI",-22.02722222,-68.06611111,4042,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2103,"Rio San Pedro",1,"N",82.0416544441185,"1990-2024"
442,"03804005-7","EL PARRAL",-28.97888889,-70.19777778,1363,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3804,"Rio Transito Entre Rio Chollay y Quebrada Chanchoquin",1,"N",79.8826635376943,"1990-2024"
492,"03826003-0","HUASCO BAJO",-28.4625,-71.225,26,3,"Atacama",33,"Huasco",3304,"Huasco",38,"Rio Huasco",382,"Rio Huasco",3826,"Rio Huasco Entre Quebrada Tortolas y Desembocadura",1,"N",73.4526254033441,"1990-2024"
443,"03804006-5","EL CORRAL",-29.11361111,-70.41222222,1677,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",381,"Rio del Carmen",3814,"Rio del Carmen Entre Quebrada La Plata y Pueblo San Felix",1,"N",72.498288843258,"1990-2024"
299,"02500021-8","TALABRE",-23.31583333,-67.88972222,3254,2,"Antofagasta",22,"El Loa",2203,"San Pedro de Atacama",25,"Salar de Atacama",250,"Salar de Atacama",2500,"Salar de Atacama",1,"N",72.2166813337245,"1990-2024"
218,"02102005-2","QUINCHAMALE",-21.90916667,-68.59833333,3071,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2102,"Rio Loa entre Quebrada de Hachas y Rio San Pedro",1,"N",72.1775691796226,"1990-2024"
232,"02104007-K","CONCHI VIEJO",-21.95388889,-68.72583333,3466,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2104,"Rio Loa entre Rio San Pedro y Rio Salado",1,"N",70.9729148332844,"1990-2024"
