"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_pp","periodo"
3939,"330020","Quinta_normal_santiago_DMC",-33.445,-70.68278,529,13,"Metropolitana de Santiago",131,"Santiago",13106,"Estación Central",57,"Rio Maipo",573,"Mapocho Bajo",5730,"Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada",2,"C",100.001955607705,"1990-2024"
3940,"330021","Pudahuel_santiago_DMC",-33.37833,-70.78778,477,13,"Metropolitana de Santiago",131,"Santiago",13124,"Pudahuel",57,"Rio Maipo",573,"Mapocho Bajo",5736,"Estero Lampa Entre Estero Colina y Rio Mapocho",2,"C",100.001955607705,"1990-2024"
3927,"330007","Rodelillo_ad_DMC",-33.06528,-71.55639,326,5,"Valparaíso",51,"Valparaíso",5101,"Valparaíso",55,"Costeras entre Aconcagua y Maipo",550,"E. Marga-Marga",5500,"Estero Marga-Marga",2,"C",99.9941331768847,"1990-2024"
3938,"330019","Eulogio_sanchez_tobalaba_ad_DMC",-33.45528,-70.54861,652,13,"Metropolitana de Santiago",131,"Santiago",13113,"La Reina",57,"Rio Maipo",573,"Mapocho Bajo",5730,"Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada",2,"C",99.9159088686809,"1990-2024"
3950,"330030","Santo_domingo_ad_DMC",-33.65611,-71.61333,76,5,"Valparaíso",56,"San Antonio",5606,"Santo Domingo",58,"Costeras entre  Maipo y Rapel",580,"Estero Yali",5800,"Estero Yali",2,"C",99.8924415762198,"1990-2024"
1560,"06016004-K","SAN FERNANDO",-34.59972222,-70.96694444,362,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6301,"San Fernando",60,"Rio Rapel",601,"Cachapoal Bajo",6016,"Estero Zamorano hasta Estero Rigolemu",1,"C",99.8533294221179,"1990-2024"
1270,"05730012-4","CERRO CALAN",-33.395,-70.53666667,853,13,"Metropolitana de Santiago",131,"Santiago",13114,"Las Condes",57,"Rio Maipo",573,"Mapocho Bajo",5730,"Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada",1,"C",99.8220396988364,"1990-2024"
1156,"05703008-9","EL YESO EMBALSE",-33.67583333,-70.08861111,2477,13,"Metropolitana de Santiago",132,"Cordillera",13203,"San José de Maipo",57,"Rio Maipo",570,"Rio Maipo Alto",5703,"Rio Yeso",1,"C",99.7203480981715,"1990-2024"
1630,"06034003-K","CONVENTO VIEJO",-34.76944444,-71.13305556,253,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6302,"Chépica",60,"Rio Rapel",603,"Tinguiririca Bajo",6034,"Estero Chimbarongo Entre Arriba Embalse Convento Viejo y Rio Tinguiririca",1,"C",99.5326097584825,"1990-2024"
4109,"340017","San_diego_de_puquillay_DMC",-34.53833,-71.50278,351,6,"Libertador General Bernardo O'Higgins",63,"Colchagua",6310,"Santa Cruz",60,"Rio Rapel",603,"Tinguiririca Bajo",6037,"Estero Calleuque (de las Toscas) Entre Estero del Zapal y Rio Tinguiririca",2,"C",99.5247873276621,"1990-2024"
3841,"320015","Catapilco_hacienda_DMC",-32.57,-71.30555,81,5,"Valparaíso",54,"Petorca",5405,"Zapallar",53,"Costeras Ligua-Aconcagua",531,"Estero Catapilco",5310,"Estero Catapilco",2,"C",99.4778527427398,"1990-2024"
3831,"320005","Huaquen_hacienda_DMC",-32.28417,-71.45972,38,5,"Valparaíso",54,"Petorca",5401,"La Ligua",50,"Costeras Quilimari-Petorca",500,"Costera Quilimari - Petorca",5000,"Costeras entre Rios Quilimari y Petorca",2,"C",99.4543854502787,"1990-2024"
1195,"05711003-1","PIRQUE",-33.67388889,-70.58666667,664,13,"Metropolitana de Santiago",132,"Cordillera",13202,"Pirque",57,"Rio Maipo",571,"Rio Maipo Medio",5711,"Rio Clarillo",1,"C",99.4152732961768,"1990-2024"
1410,"05744002-3","LOS PANGUILES",-33.43888889,-71.02527778,194,13,"Metropolitana de Santiago",135,"Melipilla",13503,"Curacaví",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5744,"Estero Puangue Entre Estero Sin Nombre y Bajo Junta Estero Amestica",1,"C",99.3683387112545,"1990-2024"
1272,"05730016-7","TERRAZA OFICINAS CENTRALES DGA",-33.44861111,-70.64416667,565,13,"Metropolitana de Santiago",131,"Santiago",13101,"Santiago",57,"Rio Maipo",573,"Mapocho Bajo",5730,"Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada",1,"C",99.3605162804341,"1990-2024"
1459,"05748003-3","CERRILLOS DE LEYDA",-33.63444444,-71.51055556,196,5,"Valparaíso",56,"San Antonio",5601,"San Antonio",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5748,"Rio Maipo Entre Estero Popeta y Desembocadura",1,"C",99.337048987973,"1990-2024"
3844,"320018","La_canela_fundo_DMC",-32.70694,-71.32917,415,5,"Valparaíso",51,"Valparaíso",5105,"Puchuncaví",53,"Costeras Ligua-Aconcagua",531,"Estero Catapilco",5310,"Estero Catapilco",2,"C",99.0789087709006,"1990-2024"
1491,"06010015-2","RANCAGUA (CACHAPOAL - DCP)",-34.19083333,-70.75083333,526,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6101,"Rancagua",60,"Rio Rapel",601,"Cachapoal Bajo",6010,"Rio Cachapoal entre Rio Claro y Estero Las Cadenas",1,"C",99.0006844626968,"1990-2024"
1586,"06019005-4","PICHIDEGUA",-34.2875,-71.41111111,119,6,"Libertador General Bernardo O'Higgins",61,"Cachapoal",6113,"Pichidegua",60,"Rio Rapel",601,"Cachapoal Bajo",6019,"Estero Cachapoal entre Estero Claro y Central  Rapel",1,"C",98.9693947394153,"1990-2024"
