"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_t_min","calidad_t_max","periodo"
3615,"230001","Cerro_moreno_antofagasta_ap_DMC",-23.45361,-70.44528,113,2,"Antofagasta",21,"Antofagasta",2101,"Antofagasta",22,"Costeras R.Loa-Q.Caracoles",224,"Costeras entre Q. Chacaya y Q. Caracoles",2240,"Costeras Entre Quebrada Chacaya y Quebrada Caracoles",2,"N",99.9863107460643,99.9863107460643,"1990-2024"
3589,"220002","El_loa_calama_ad_DMC",-22.49806,-68.8925,2320,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",211,"Loa Medio (entre R.  Salado y Q. de Barrera)",2110,"Rio Loa entre Rio Salado y Rio San Salvador",2,"N",99.978488315244,99.978488315244,"1990-2024"
365,"03430006-2","LAUTARO EMBALSE",-27.97888889,-70.00416667,1126,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3430,"Rio Copiapo Entre Junta Rios Jorquera, Pulido y Manflas y Bajo Junta Q. Barrancas Blancas",1,"N",98.9459274469541,98.8207685538281,"1990-2024"
469,"03820004-6","SANTA JUANA",-28.67083333,-70.65416667,545,3,"Atacama",33,"Huasco",3301,"Vallenar",38,"Rio Huasco",382,"Rio Huasco",3820,"Rio Huasco Entre Rio Transito y Del Carmen y Quebrada Camarones",1,"N",97.1624132199081,97.0841889117043,"1990-2024"
366,"03430007-0","LOS LOROS",-27.82972222,-70.11972222,923,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",343,"R.  Copiapo Medio",3430,"Rio Copiapo Entre Junta Rios Jorquera, Pulido y Manflas y Bajo Junta Q. Barrancas Blancas",1,"N",94.3306932629314,94.8156839737949,"1990-2024"
357,"03414002-2","IGLESIA COLORADA",-28.15,-69.88861111,1527,3,"Atacama",31,"Copiapó",3103,"Tierra Amarilla",34,"Rio Copiapo",341,"Rio Pulido",3414,"Rio Pulido entre Rio Mantosa y Rio Copiapo",1,"N",88.7298327955412,88.7298327955412,"1990-2024"
461,"03815004-9","SAN FELIX",-28.93083333,-70.46388889,1130,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",381,"Rio del Carmen",3815,"Rio del Carmen entre Pueblo San Felix y Rio Huasco",1,"N",88.2839542387797,88.2995991004205,"1990-2024"
426,"03701001-4","CANTO DE AGUA",-28.14972222,-70.86083333,274,3,"Atacama",33,"Huasco",3304,"Huasco",37,"Quebrada Carrizal y Costeras hasta R. Huasco",370,"Quebradas Carrizal y Carrizalillo",3701,"Quebrada Carrizal Entre Quebrada Chacritas y Desembocadura",1,"N",83.3871125452234,86.9619634301359,"1990-2024"
234,"02104010-K","CHIU-CHIU",-22.3425,-68.64944444,2530,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2104,"Rio Loa entre Rio San Pedro y Rio Salado",1,"N",85.3427202503178,85.6634399139533,"1990-2024"
450,"03806002-3","EL TRANSITO",-28.87361111,-70.28194444,1107,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3804,"Rio Transito Entre Rio Chollay y Quebrada Chanchoquin",1,"N",85.6086828982106,85.2097389263714,"1990-2024"
481,"03823004-2","LA COMPAÑIA (VALLENAR)",-28.58111111,-70.79833333,470,3,"Atacama",33,"Huasco",3301,"Vallenar",38,"Rio Huasco",382,"Rio Huasco",3823,"Rio Huasco Entre Quebrada El Jilguero y Quebrada Maitencillo",1,"N",84.8733744010951,84.7795052312506,"1990-2024"
233,"02104008-8","CONCHI EMBALSE",-22.02694444,-68.62416667,3024,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2104,"Rio Loa entre Rio San Pedro y Rio Salado",1,"N",81.4940842866921,81.8148039503276,"1990-2024"
313,"02700001-0","SIERRA GORDA",-22.89083333,-69.32138889,1623,2,"Antofagasta",21,"Antofagasta",2103,"Sierra Gorda",27,"Quebrada Caracoles",270,"Quebrada Caracoles bajo junta Quebrada El Buitre",2700,"Quebrada Caracoles bajo junta Quebrada El Buitre",1,"N",80.3832991101985,80.41458883348,"1990-2024"
241,"02105016-4","LINZOR",-22.22972222,-68.02277778,4102,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",65.0748019947198,70.2141390437078,"1990-2024"
437,"03802006-4","CONAY EN ALBARICOQUE",-28.95305556,-70.11666667,1513,3,"Atacama",33,"Huasco",3302,"Alto del Carmen",38,"Rio Huasco",380,"Rio Transito",3802,"Rio Conay (entre Rio Valeriano y Rio Chollay)",1,"N",67.6874938887259,67.6562041654444,"1990-2024"
246,"02105022-9","EL TATIO",-22.35111111,-68.01638889,4308,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",61.1166519996089,64.0265962647893,"1990-2024"
221,"02103008-2","PARSHALL N 2",-21.94555556,-68.51972222,3335,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2103,"Rio San Pedro",1,"N",62.9940353964995,62.8141194876308,"1990-2024"
323,"02942001-7","AGUAS VERDES",-25.40111111,-69.9625,1559,2,"Antofagasta",21,"Antofagasta",2104,"Taltal",29,"Costeras entre Q. la Negra y Q. Pan de Azucar",294,"Quebrada de Taltal",2942,"Quebrada Taltal Entre Quebrada del Chaco y Bajo Junta Quebrada Corcovado",1,"N",77.9739904175222,61.9145399432874,"1990-2024"
243,"02105018-0","AYQUINA",-22.27583333,-68.32388889,3044,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",70.0576904273003,60.1310257162413,"1990-2024"
242,"02105017-2","TOCONCE",-22.26472222,-68.16638889,3315,2,"Antofagasta",22,"El Loa",2201,"Calama",21,"Rio Loa",210,"Rio Loa Alto (bajo junta Rio Salado)",2105,"Rio Salado",1,"N",70.3549427984746,59.004595678107,"1990-2024"
3661,"270008","Desierto_de_atacama_caldera_ad_DMC",-27.25444,-70.78111,196,3,"Atacama",31,"Copiapó",3102,"Caldera",34,"Rio Copiapo",345,"R.  Copiapo Bajo",3451,"Rio Copiapo Entre Quebrada La Brea y Quebrada Totoralillo",2,"N",54.3502493399824,53.8261464750171,"1990-2024"
492,"03826003-0","HUASCO BAJO",-28.4625,-71.225,26,3,"Atacama",33,"Huasco",3304,"Huasco",38,"Rio Huasco",382,"Rio Huasco",3826,"Rio Huasco Entre Quebrada Tortolas y Desembocadura",1,"N",50.8301554708126,50.9474919331182,"1990-2024"
