"id","codigo_nacional","nombre","lat","lon","altura","cod_reg","nom_reg","cod_prov","nom_prov","cod_com","nom_com","cod_cuen","nom_cuen","cod_subc","nom_subc","cod_ssubc","nom_ssubc","id_fuente","macrozona","calidad_t_min","calidad_t_max","periodo"
3940,"330021","Pudahuel_santiago_DMC",-33.37833,-70.78778,477,13,"Metropolitana de Santiago",131,"Santiago",13124,"Pudahuel",57,"Rio Maipo",573,"Mapocho Bajo",5736,"Estero Lampa Entre Estero Colina y Rio Mapocho",2,"C",100.001955607705,99.9941331768847,"1990-2024"
3939,"330020","Quinta_normal_santiago_DMC",-33.445,-70.68278,529,13,"Metropolitana de Santiago",131,"Santiago",13106,"Estación Central",57,"Rio Maipo",573,"Mapocho Bajo",5730,"Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada",2,"C",99.978488315244,99.9863107460643,"1990-2024"
3927,"330007","Rodelillo_ad_DMC",-33.06528,-71.55639,326,5,"Valparaíso",51,"Valparaíso",5101,"Valparaíso",55,"Costeras entre Aconcagua y Maipo",550,"E. Marga-Marga",5500,"Estero Marga-Marga",2,"C",99.6734135132492,99.7203480981715,"1990-2024"
1156,"05703008-9","EL YESO EMBALSE",-33.67583333,-70.08861111,2477,13,"Metropolitana de Santiago",132,"Cordillera",13203,"San José de Maipo",57,"Rio Maipo",570,"Rio Maipo Alto",5703,"Rio Yeso",1,"C",99.6655910824289,99.68905837489,"1990-2024"
3950,"330030","Santo_domingo_ad_DMC",-33.65611,-71.61333,76,5,"Valparaíso",56,"San Antonio",5606,"Santo Domingo",58,"Costeras entre  Maipo y Rapel",580,"Estero Yali",5800,"Estero Yali",2,"C",99.6421237899677,99.3135816955119,"1990-2024"
3938,"330019","Eulogio_sanchez_tobalaba_ad_DMC",-33.45528,-70.54861,652,13,"Metropolitana de Santiago",131,"Santiago",13113,"La Reina",57,"Rio Maipo",573,"Mapocho Bajo",5730,"Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada",2,"C",96.3958149995111,99.1649555099247,"1990-2024"
1270,"05730012-4","CERRO CALAN",-33.395,-70.53666667,853,13,"Metropolitana de Santiago",131,"Santiago",13114,"Las Condes",57,"Rio Maipo",573,"Mapocho Bajo",5730,"Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada",1,"C",99.1258433558228,99.1180209250025,"1990-2024"
1195,"05711003-1","PIRQUE",-33.67388889,-70.58666667,664,13,"Metropolitana de Santiago",132,"Cordillera",13202,"Pirque",57,"Rio Maipo",571,"Rio Maipo Medio",5711,"Rio Clarillo",1,"C",98.7112545223428,98.8442358462892,"1990-2024"
1095,"05510002-0","LAGO PEÑUELAS",-33.145,-71.55611111,341,5,"Valparaíso",51,"Valparaíso",5101,"Valparaíso",55,"Costeras entre Aconcagua y Maipo",551,"Lago Peñuelas",5510,"Lago Penuelas",1,"C",98.3670675662462,98.218441380659,"1990-2024"
1410,"05744002-3","LOS PANGUILES",-33.43888889,-71.02527778,194,13,"Metropolitana de Santiago",135,"Melipilla",13503,"Curacaví",57,"Rio Maipo",574,"Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura)",5744,"Estero Puangue Entre Estero Sin Nombre y Bajo Junta Estero Amestica",1,"C",98.3905348587073,98.1011049183534,"1990-2024"
