"fecha","year","month","day","02101001-4","02103001-5","02104002-9","02105001-6","02105002-4","02110004-8","02500004-8","02500005-6","03022001-3","03041002-5","03041005-K","03404001-K","03414001-4","03421001-2","03430001-1","03430003-8","03431001-7","03434002-1","03453001-7","03802001-3","03804002-2","03806001-5","03814003-5","03815002-2","03820001-1","03820003-8"
1990-01-01,1990,1,1,0.446,0.909,1.32,0.03,0.263,0.246,0.173,0.137,0.617,0.004,0.567,0.899,1.42,0.307,2.09,NA,4.48,1.39,0.07,3.14,4.99,3.54,NA,1.14,NA,NA
1990-01-02,1990,1,2,0.443,0.904,1.32,0.04,0.287,0.245,0.173,0.137,0.611,0.003,0.56,0.812,1.39,0.321,2.05,NA,4.44,1.38,0.07,3.05,4.64,3.32,NA,1.13,NA,NA
1990-01-03,1990,1,3,0.445,0.912,1.33,0.041,0.295,0.241,0.173,0.136,0.615,0.007,0.55,0.781,1.34,0.334,2.06,NA,4.31,1.35,0.063,2.98,4.53,2.95,NA,1.08,NA,NA
1990-01-04,1990,1,4,0.443,0.916,1.33,0.032,0.296,0.245,0.173,0.137,0.606,0.031,0.56,0.773,1.28,0.341,2.04,NA,4.24,1.33,0.07,2.8,4.04,2.76,NA,1.08,NA,NA
1990-01-05,1990,1,5,0.446,0.918,1.32,0.036,0.289,0.243,0.172,0.136,0.606,0.004,0.555,0.753,1.26,0.328,2.05,NA,3.93,1.32,0.075,3.04,4.1,2.95,NA,1.01,NA,NA
1990-01-06,1990,1,6,0.452,0.926,1.32,0.049,0.302,0.238,0.173,0.137,0.595,0.003,0.542,0.721,1.32,0.309,2.05,NA,3.49,1.35,0.085,3.34,4.44,2.87,NA,0.906,NA,NA
1990-01-07,1990,1,7,0.484,0.91,1.33,0.041,0.311,0.246,0.172,0.138,0.597,0.003,0.553,0.733,1.43,0.316,2.04,NA,3.5,1.35,0.079,3.33,4.93,3.55,NA,0.881,NA,NA
1990-01-08,1990,1,8,0.48,0.903,1.34,0.041,0.303,0.243,0.172,0.139,0.58,0.004,0.547,0.764,1.58,0.346,2.03,NA,3.54,1.38,0.077,3.04,4.77,3.9,NA,0.926,NA,NA
1990-01-09,1990,1,9,0.471,0.896,1.33,0.029,0.298,0.239,0.172,0.138,0.591,0.004,0.535,0.781,1.64,0.405,2.07,NA,3.53,1.4,0.068,2.94,4.19,3.66,NA,0.947,NA,NA
1990-01-10,1990,1,10,0.47,0.9,1.33,0.028,0.292,0.248,0.172,0.138,0.597,0.004,0.511,0.789,1.68,0.458,2.07,NA,3.47,1.38,0.064,3.01,4.38,3.46,NA,0.998,NA,NA
1990-01-11,1990,1,11,0.468,0.897,1.32,0.027,0.3,0.244,0.172,0.138,0.599,0.003,0.492,0.789,1.65,0.489,2.06,NA,3.44,1.34,0.054,2.56,4.86,3.88,NA,1.04,NA,NA
1990-01-12,1990,1,12,0.462,0.898,1.33,0.027,0.291,0.243,0.172,0.138,0.594,0.003,0.502,0.755,1.71,0.527,2.04,NA,3.48,1.38,0.062,2.56,4.51,3.66,NA,0.994,NA,NA
1990-01-13,1990,1,13,0.457,0.888,1.34,0.027,0.295,0.246,0.171,0.138,0.595,NA,0.539,0.795,1.69,0.546,2.04,NA,3.47,1.43,0.056,2.66,4.13,3.34,NA,1.08,NA,NA
1990-01-14,1990,1,14,0.454,0.91,1.34,0.027,0.292,0.247,0.172,0.138,0.604,NA,0.533,0.77,1.68,0.548,2.06,NA,3.5,1.5,0.057,2.53,4.26,3.6,NA,1.26,NA,NA
1990-01-15,1990,1,15,0.452,0.925,1.34,0.027,0.292,0.253,0.172,0.138,0.601,NA,0.527,0.785,1.69,0.508,2.05,NA,3.52,1.42,0.066,2.56,4.07,3.25,NA,1.19,NA,NA
1990-01-16,1990,1,16,0.448,0.918,1.34,0.026,0.282,0.253,0.172,0.138,0.592,NA,0.533,0.726,1.71,0.488,2.02,NA,3.45,1.39,0.065,2.39,3.87,3.19,NA,1.36,NA,NA
