"fecha","year","month","day","02103008-2","02104008-8","02104010-K","02105016-4","02105017-2","02105018-0","02105022-9","02700001-0","02942001-7","03414002-2","03430006-2","03430007-0","03701001-4","03802006-4","03806002-3","03815004-9","03820004-6","03823004-2","03826003-0","220002","230001","270008"
1990-01-01,1990,1,1,20.2,NA,NA,NA,NA,NA,17.3,NA,NA,NA,30,34,29.8,NA,NA,NA,29.5,NA,NA,23.4,24.6,NA
1990-01-02,1990,1,2,20.3,NA,NA,NA,NA,NA,17.5,NA,29.9,NA,31,33,28.6,NA,NA,NA,28,NA,NA,24.7,24.7,NA
1990-01-03,1990,1,3,20.9,NA,NA,NA,NA,NA,17,NA,30,NA,31,33.2,28.6,NA,NA,NA,27.5,NA,NA,24.4,23.8,NA
1990-01-04,1990,1,4,21,NA,NA,NA,NA,NA,17.9,NA,30.6,NA,32,33.3,28.4,NA,NA,NA,28,NA,NA,25.2,23.8,NA
1990-01-05,1990,1,5,20.9,NA,NA,NA,NA,NA,17,NA,28.9,NA,29.5,33.3,28.4,NA,NA,NA,26,NA,NA,23.6,24.4,NA
1990-01-06,1990,1,6,21.7,NA,NA,NA,NA,NA,15.9,NA,29.8,NA,31.5,33.2,28.6,NA,NA,NA,28,NA,NA,23.8,23.9,NA
1990-01-07,1990,1,7,21.2,NA,NA,NA,NA,NA,17.5,NA,30,NA,30.5,33,29.2,NA,NA,NA,27.5,NA,NA,24.2,24.5,NA
1990-01-08,1990,1,8,22.9,NA,NA,NA,NA,NA,16.3,NA,30.2,NA,30,32,29.2,NA,NA,NA,27.5,NA,NA,25.9,25.4,NA
1990-01-09,1990,1,9,21.8,NA,NA,NA,NA,NA,17.7,NA,29.8,NA,30,33.1,29.2,NA,NA,NA,26.5,NA,NA,24.2,25.3,NA
1990-01-10,1990,1,10,19.6,NA,NA,NA,NA,NA,15.5,NA,29.9,NA,31,32.3,30.6,NA,NA,NA,29,NA,NA,23.6,24.2,NA
1990-01-11,1990,1,11,19.9,NA,NA,NA,NA,NA,15.9,NA,30,NA,31.5,34.1,30.2,NA,NA,NA,29,NA,NA,23.8,24.6,NA
1990-01-12,1990,1,12,20.1,NA,NA,NA,NA,NA,17,NA,29.7,NA,32,32.3,29.6,NA,NA,NA,28.5,NA,NA,24,25.9,NA
1990-01-13,1990,1,13,21.6,NA,NA,NA,NA,NA,16.5,NA,30.8,NA,31,34.4,30,NA,NA,NA,29,NA,NA,23,25.2,NA
1990-01-14,1990,1,14,20.5,NA,NA,NA,NA,NA,17,NA,31,NA,31.5,33,30.6,NA,NA,NA,29,NA,NA,25.2,24.9,NA
1990-01-15,1990,1,15,22.1,NA,NA,NA,NA,NA,18.9,NA,32,NA,32,33.2,28.2,NA,NA,NA,28.5,NA,NA,26.1,24.2,NA
1990-01-16,1990,1,16,22.8,NA,NA,NA,NA,NA,18,NA,30.9,NA,31.5,31,30.2,NA,NA,NA,29.5,NA,NA,24.7,23.4,NA
1990-01-17,1990,1,17,23,NA,NA,NA,NA,NA,19.3,NA,31.9,NA,32.5,33,32,NA,NA,NA,31,NA,NA,26.4,23.6,NA
1990-01-18,1990,1,18,22.7,NA,NA,NA,NA,NA,18.9,NA,31,NA,32.5,32.4,30,NA,NA,NA,28.5,NA,NA,24.8,23.7,NA
1990-01-19,1990,1,19,22.5,NA,NA,NA,NA,NA,18.8,NA,28.9,NA,32.6,32.4,28.4,NA,NA,NA,27,NA,NA,26.6,23.8,NA
1990-01-20,1990,1,20,22.1,NA,NA,NA,NA,NA,18.6,NA,32.2,NA,33.5,33.2,31.4,NA,NA,NA,31,NA,NA,24.8,23.2,NA
1990-01-21,1990,1,21,23,NA,NA,NA,NA,NA,19,NA,31.9,NA,34,34,31.2,NA,NA,NA,30,NA,NA,25.2,23.1,NA
1990-01-22,1990,1,22,22.1,NA,NA,NA,NA,NA,17.9,NA,31.4,NA,31.5,30.1,27.4,NA,NA,NA,27.5,NA,NA,24.9,23.9,NA
1990-01-23,1990,1,23,21.3,NA,NA,NA,NA,NA,17.5,NA,30.9,NA,32.5,31.2,30,NA,NA,NA,27,NA,NA,24.2,23.1,NA
1990-01-24,1990,1,24,21.6,NA,NA,NA,NA,NA,16.6,NA,30.6,NA,32,32,30,NA,NA,NA,29,NA,NA,25,24.8,NA
1990-01-25,1990,1,25,23.9,NA,NA,NA,NA,NA,18,NA,30.9,NA,33.5,32,32,NA,NA,NA,31,NA,NA,26.7,23.4,NA
1990-01-26,1990,1,26,19.9,NA,NA,NA,NA,NA,16.1,NA,31.5,NA,33,34.1,29,NA,NA,NA,28.5,NA,NA,24.8,24.2,NA
1990-01-27,1990,1,27,22.8,NA,NA,NA,NA,NA,17.9,NA,31.6,NA,33,31.3,27.6,NA,NA,NA,26.5,NA,NA,25.8,23.6,NA
1990-01-28,1990,1,28,22.6,NA,NA,NA,NA,NA,15.9,NA,32.9,NA,33,32,30.2,NA,NA,NA,29.5,NA,NA,26.4,23.8,NA
1990-01-29,1990,1,29,23.8,NA,NA,NA,NA,NA,16,NA,32,NA,33.5,33,29.4,NA,NA,NA,29,NA,NA,26.3,23.5,NA
1990-01-30,1990,1,30,23.1,NA,NA,NA,NA,NA,15.5,NA,31.9,NA,33,32.1,27.4,NA,NA,NA,27.5,NA,NA,24.2,23.2,NA
1990-01-31,1990,1,31,18,NA,NA,NA,NA,NA,12.1,NA,29.9,NA,31.5,29,28.2,NA,NA,NA,27.5,NA,NA,22.7,23.2,NA
1990-02-01,1990,2,1,21.5,NA,NA,NA,NA,NA,11.7,NA,29,NA,32,31,28.2,NA,NA,NA,27.5,NA,NA,24.8,22.8,NA
1990-02-02,1990,2,2,21,NA,NA,NA,NA,NA,16.6,NA,31.8,NA,32.5,30.4,31,NA,NA,NA,29.5,NA,NA,25.6,24.2,NA
1990-02-03,1990,2,3,20.5,NA,NA,NA,NA,NA,15.1,NA,32.9,NA,34,33.4,28.2,NA,NA,NA,30,NA,NA,27,23.3,NA
1990-02-04,1990,2,4,21,NA,NA,NA,NA,NA,17,NA,31.8,NA,32,33,31.2,NA,NA,NA,29.5,NA,NA,26.4,23,NA
1990-02-05,1990,2,5,23.2,NA,NA,NA,NA,NA,18.9,NA,30.5,NA,32,31,30,NA,NA,NA,27,NA,NA,25.4,23,NA
1990-02-06,1990,2,6,21.4,NA,NA,NA,NA,NA,18.1,NA,28.9,NA,30.5,30,28.6,NA,NA,NA,24.5,NA,NA,24.2,27.9,NA
1990-02-07,1990,2,7,21,NA,NA,NA,NA,NA,16.2,NA,30,NA,29.5,30.1,29.4,NA,NA,NA,28,NA,NA,20.6,24.1,NA
1990-02-08,1990,2,8,20.2,NA,NA,NA,NA,NA,16.9,NA,29.1,NA,30.5,31,30.4,NA,NA,NA,29,NA,NA,24,23.6,NA
1990-02-09,1990,2,9,20.4,NA,NA,NA,NA,NA,16,NA,29.5,NA,31.5,30,30,NA,NA,NA,29,NA,NA,23.8,23.2,NA
1990-02-10,1990,2,10,20.3,NA,NA,NA,NA,NA,15.1,NA,30,NA,31.5,31.4,29.2,NA,NA,NA,28,NA,NA,24.2,23.2,NA
1990-02-11,1990,2,11,20.1,NA,NA,NA,NA,NA,16,NA,30.9,NA,32,32.2,29.2,NA,NA,NA,28.5,NA,NA,24.8,23.8,NA
1990-02-12,1990,2,12,22.4,NA,NA,NA,NA,NA,16.8,NA,29.6,NA,33,32.5,28,NA,NA,NA,28.5,NA,NA,25.1,23.9,NA
1990-02-13,1990,2,13,22.1,NA,NA,NA,NA,NA,17.7,NA,29.5,NA,32.5,31,27.4,NA,NA,NA,26.5,NA,NA,27.4,23.9,NA
1990-02-14,1990,2,14,21,NA,NA,NA,NA,NA,17.1,NA,29.3,NA,32,30.2,29.2,NA,NA,NA,28.5,NA,NA,26,23.2,NA
1990-02-15,1990,2,15,20.9,NA,NA,NA,NA,NA,18,NA,28.8,NA,30.5,30,27.8,NA,NA,NA,26.5,NA,NA,24.5,23.3,NA
1990-02-16,1990,2,16,20.7,NA,NA,NA,NA,NA,17.9,NA,28.9,NA,31.5,30.4,28.2,NA,NA,NA,27.6,NA,NA,24.4,23.8,NA
1990-02-17,1990,2,17,19.8,NA,NA,NA,NA,NA,16.8,NA,29.1,NA,30,29.4,28.2,NA,NA,NA,27,NA,NA,22.5,23.7,NA
