"fecha","year","month","day","02103008-2","02104008-8","02104010-K","02105016-4","02105017-2","02105018-0","02105022-9","02700001-0","02942001-7","03414002-2","03430006-2","03430007-0","03701001-4","03802006-4","03806002-3","03815004-9","03820004-6","03823004-2","03826003-0","220002","230001","270008"
1990-01-01,1990,1,1,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13.3,16.4,NA,NA,NA,15.2,NA,NA,3.4,19.1,NA
1990-01-02,1990,1,2,3.9,NA,NA,NA,NA,NA,NA,NA,12.2,NA,14,13.4,14.8,NA,NA,NA,15,NA,NA,3.1,18,NA
1990-01-03,1990,1,3,3.1,NA,NA,NA,NA,NA,NA,NA,10.7,NA,13.4,12,13.8,NA,NA,NA,14.2,NA,NA,4.9,16.7,NA
1990-01-04,1990,1,4,4.4,NA,NA,NA,NA,NA,NA,NA,12,NA,13.6,12.1,11.6,NA,NA,NA,14,NA,NA,4.2,17.9,NA
1990-01-05,1990,1,5,5.6,NA,NA,NA,NA,NA,NA,NA,10.2,NA,13.2,12.3,13.6,NA,NA,NA,15,NA,NA,5,19.4,NA
1990-01-06,1990,1,6,8,NA,NA,NA,NA,NA,NA,NA,14,NA,12.6,12.4,13.6,NA,NA,NA,14.2,NA,NA,7.2,17.6,NA
1990-01-07,1990,1,7,6.1,NA,NA,NA,NA,NA,NA,NA,13.2,NA,13,13,14.6,NA,NA,NA,15.2,NA,NA,6.6,17.2,NA
1990-01-08,1990,1,8,6.2,NA,NA,NA,NA,NA,NA,NA,11,NA,13.4,12.4,17,NA,NA,NA,14.6,NA,NA,5.5,17.1,NA
1990-01-09,1990,1,9,5.1,NA,NA,NA,NA,NA,NA,NA,9.7,NA,13,12,16.4,NA,NA,NA,14.6,NA,NA,4.8,18.9,NA
1990-01-10,1990,1,10,2.7,NA,NA,NA,NA,NA,NA,NA,8.1,NA,12.6,9,10.4,NA,NA,NA,13.6,NA,NA,3.6,17.6,NA
1990-01-11,1990,1,11,2.1,NA,NA,NA,NA,NA,NA,NA,12,NA,13.6,12,13.2,NA,NA,NA,14.6,NA,NA,3.6,16,NA
1990-01-12,1990,1,12,3,NA,NA,NA,NA,NA,NA,NA,13.1,NA,14,12,12.4,NA,NA,NA,13.6,NA,NA,4.8,18.3,NA
1990-01-13,1990,1,13,1.9,NA,NA,NA,NA,NA,NA,NA,11.5,NA,13.8,13,11.8,NA,NA,NA,13.2,NA,NA,3.8,18.7,NA
1990-01-14,1990,1,14,2.1,NA,NA,NA,NA,NA,NA,NA,12.4,NA,13.4,12,12.6,NA,NA,NA,14,NA,NA,3.8,17.2,NA
1990-01-15,1990,1,15,3.1,NA,NA,NA,NA,NA,NA,NA,11.1,NA,14.6,12.1,10,NA,NA,NA,14.4,NA,NA,3.3,17.6,NA
1990-01-16,1990,1,16,4.6,NA,NA,NA,NA,NA,NA,NA,10.9,NA,15,13.2,12,NA,NA,NA,14.2,NA,NA,3.2,19.3,NA
