"","Nombre","Lat","Lon","est","indicador","unidad","periodo","pendiente","p_valor"
"1","CHUNGARA AJATA",-18.23527778,-69.18333333,"X01010010.0","MaxTmax","�C_decada","Anual",-0.558787541713014,0.0364424761229455
"2","CHUNGARA AJATA",-18.23527778,-69.18333333,"X01010010.0","MaxTmax","�C_decada","Otono",-0.498998887652947,0.209815758158324
"3","CHUNGARA AJATA",-18.23527778,-69.18333333,"X01010010.0","MaxTmax","�C_decada","Invierno",0.00867630700778678,0.507529423330878
"4","CHUNGARA AJATA",-18.23527778,-69.18333333,"X01010010.0","MaxTmax","�C_decada","Primavera",-0.391601779755284,0.162878593001605
"5","CHUNGARA AJATA",-18.23527778,-69.18333333,"X01010010.0","MaxTmax","�C_decada","Verano",-0.507389162561575,0.101277374366947
"6","PARINACOTA EX ENDESA",-18.20388889,-69.26833333,"X01020017.2","MaxTmax","�C_decada","Anual",-0.809677419354838,0.000456051016241345
"7","PARINACOTA EX ENDESA",-18.20388889,-69.26833333,"X01020017.2","MaxTmax","�C_decada","Otono",-0.993659621802001,0.000332168622428385
"8","PARINACOTA EX ENDESA",-18.20388889,-69.26833333,"X01020017.2","MaxTmax","�C_decada","Invierno",-0.415127919911011,0.325514688945505
"9","PARINACOTA EX ENDESA",-18.20388889,-69.26833333,"X01020017.2","MaxTmax","�C_decada","Primavera",-0.818353726362624,0.00110499120878771
"10","PARINACOTA EX ENDESA",-18.20388889,-69.26833333,"X01020017.2","MaxTmax","�C_decada","Verano",-0.455763546798031,0.059972205076603
"11","AZAPA",-18.51638889,-70.18,"X01310019.5","MaxTmax","�C_decada","Anual",0.143937708565075,0.421348232697488
"12","AZAPA",-18.51638889,-70.18,"X01310019.5","MaxTmax","�C_decada","Otono",-0.214238042269186,0.453230696706957
"13","AZAPA",-18.51638889,-70.18,"X01310019.5","MaxTmax","�C_decada","Invierno",0.323025583982205,0.567523817395158
"14","AZAPA",-18.51638889,-70.18,"X01310019.5","MaxTmax","�C_decada","Primavera",-0.232035595105671,0.395677239045981
"15","AZAPA",-18.51638889,-70.18,"X01310019.5","MaxTmax","�C_decada","Verano",0.366995073891626,0.11414078259382
"16","CODPA",-18.8325,-69.74388889,"X01410012.1","MaxTmax","�C_decada","Anual",-0.391768631813123,0.706227087792201
"17","CODPA",-18.8325,-69.74388889,"X01410012.1","MaxTmax","�C_decada","Otono",-0.499944382647383,0.47204467966306
"18","CODPA",-18.8325,-69.74388889,"X01410012.1","MaxTmax","�C_decada","Invierno",-0.249165739710788,0.971405171370397
"19","CODPA",-18.8325,-69.74388889,"X01410012.1","MaxTmax","�C_decada","Primavera",-0.279421579532813,1
"20","CODPA",-18.8325,-69.74388889,"X01410012.1","MaxTmax","�C_decada","Verano",-0.107389162561573,0.439312011213385
"21","LOS CONDORES",-32.10861111,-71.3125,"X04902002.3","MaxTmax","�C_decada","Anual",-0.703670745272522,0.185772931147856
