"Nombre","Lat","Lon","var","estacion","mes","pend_decada","p_valor"
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","1",-1.66685205784204,1
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","2",8.35305895439378,0.4324504235359
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","3",-9.74938820912124,0.276384965466834
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","4",3.04460511679644,0.229419504684526
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","5",1.13114571746385,0.110091713594699
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","6",-0.402447163515016,0.0926015723276856
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","7",0.838487208008899,0.0278801826961854
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","8",-5.69010011123471,0.952614086654903
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","9",0.689321468298109,0.321473517120018
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","10",2.14854282536151,0.121306877558388
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","11",0.32992213570634,0.304754492482722
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","12",13.774638487208,0.224712534883185
"VISVIRI","-17,594999999999999","-69,476666670000000","pp","X01000005.K","Anual",12.8009343715239,0.53227597136615
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","1",-1.87701890989987,0.914752339084737
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","2",-5.65877641824249,0.830475024124481
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","3",-16.1488320355951,0.326389161999707
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","4",-1.14313681868743,0.565239109675174
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","5",-0.641868743047831,0.304997515195188
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","6",-0.8121468298109,1
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","7",0.0740823136818689,0.181351855205852
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","8",-8.44520578420468,0.17405526626689
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","9",-0.161802002224694,0.351740267171705
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","10",-0.740489432703003,0.939002853183381
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","11",-2.66511679644049,0.939796616405181
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","12",-3.85579532814237,0.291771223477326
"CAQUENA","-18,054166670000001","-69,201666669999994","pp","X01001005.5","Anual",-42.076106785317,0.353545768449924
