"id_grilla","lat","lon","archivo","cod_cuen","nom_cuen","macrozona","elev_m"
1,-17.475,-69.475,"data_-17.475_-69.475",10,"Altiplanicas","Mz-Norte A",4082
2,-17.525,-69.475,"data_-17.525_-69.475",10,"Altiplanicas","Mz-Norte A",4131
3,-17.525,-69.525,"data_-17.525_-69.525",10,"Altiplanicas","Mz-Norte A",4169
4,-17.575,-69.475,"data_-17.575_-69.475",10,"Altiplanicas","Mz-Norte A",4096
5,-17.575,-69.525,"data_-17.575_-69.525",10,"Altiplanicas","Mz-Norte A",4140
6,-17.575,-69.575,"data_-17.575_-69.575",10,"Altiplanicas","Mz-Norte A",4384
7,-17.625,-69.425,"data_-17.625_-69.425",10,"Altiplanicas","Mz-Norte A",4068
8,-17.625,-69.475,"data_-17.625_-69.475",10,"Altiplanicas","Mz-Norte A",4106
9,-17.625,-69.525,"data_-17.625_-69.525",10,"Altiplanicas","Mz-Norte A",4147
10,-17.625,-69.575,"data_-17.625_-69.575",10,"Altiplanicas","Mz-Norte A",4156
11,-17.625,-69.625,"data_-17.625_-69.625",12,"Rio Lluta","Mz-Norte A",4255
12,-17.625,-69.675,"data_-17.625_-69.675",12,"Rio Lluta","Mz-Norte A",4283
13,-17.625,-69.725,"data_-17.625_-69.725",12,"Rio Lluta","Mz-Norte A",4640
14,-17.625,-69.775,"data_-17.625_-69.775",12,"Rio Lluta","Mz-Norte A",4850
15,-17.625,-69.825,"data_-17.625_-69.825",12,"Rio Lluta","Mz-Norte A",4730
16,-17.675,-69.375,"data_-17.675_-69.375",10,"Altiplanicas","Mz-Norte A",4051
17,-17.675,-69.425,"data_-17.675_-69.425",10,"Altiplanicas","Mz-Norte A",4098
18,-17.675,-69.475,"data_-17.675_-69.475",10,"Altiplanicas","Mz-Norte A",4156
19,-17.675,-69.525,"data_-17.675_-69.525",10,"Altiplanicas","Mz-Norte A",4290
20,-17.675,-69.575,"data_-17.675_-69.575",10,"Altiplanicas","Mz-Norte A",4297
21,-17.675,-69.625,"data_-17.675_-69.625",12,"Rio Lluta","Mz-Norte A",4338
22,-17.675,-69.675,"data_-17.675_-69.675",12,"Rio Lluta","Mz-Norte A",4249
23,-17.675,-69.725,"data_-17.675_-69.725",12,"Rio Lluta","Mz-Norte A",4622
24,-17.675,-69.775,"data_-17.675_-69.775",12,"Rio Lluta","Mz-Norte A",4948
25,-17.675,-69.825,"data_-17.675_-69.825",12,"Rio Lluta","Mz-Norte A",4875
26,-17.725,-69.325,"data_-17.725_-69.325",10,"Altiplanicas","Mz-Norte A",4088
27,-17.725,-69.375,"data_-17.725_-69.375",10,"Altiplanicas","Mz-Norte A",4095
28,-17.725,-69.425,"data_-17.725_-69.425",10,"Altiplanicas","Mz-Norte A",4186
29,-17.725,-69.475,"data_-17.725_-69.475",10,"Altiplanicas","Mz-Norte A",4457
30,-17.725,-69.525,"data_-17.725_-69.525",10,"Altiplanicas","Mz-Norte A",4443
31,-17.725,-69.575,"data_-17.725_-69.575",10,"Altiplanicas","Mz-Norte A",4449
32,-17.725,-69.625,"data_-17.725_-69.625",12,"Rio Lluta","Mz-Norte A",4646
33,-17.725,-69.675,"data_-17.725_-69.675",12,"Rio Lluta","Mz-Norte A",4249
34,-17.725,-69.725,"data_-17.725_-69.725",12,"Rio Lluta","Mz-Norte A",4296
35,-17.725,-69.775,"data_-17.725_-69.775",12,"Rio Lluta","Mz-Norte A",5626
36,-17.725,-69.825,"data_-17.725_-69.825",12,"Rio Lluta","Mz-Norte A",4535
37,-17.775,-69.325,"data_-17.775_-69.325",10,"Altiplanicas","Mz-Norte A",4106
